Toy Story, November 22, 1995
A Bug's Life, November 25, 1998
Toy Story 2, November 24, 1999
Monsters Inc., November 2, 2001
Finding Nemo, May 30, 2003
The Incredibles, November 5, 2004
Cars, June 9, 2006
Ratatouille, June 29, 2007
WALL-E, June 27, 2008
Up, May 29, 2009
Toy Story 3, June 18, 2010
Cars 2, June 24, 2011
Brave, June 22, 2012
Monsters University, June 21, 2013
Inside Out, June 19, 2015
The Good Dinosaur, November 25, 2015
Finding Dory, June 17, 2016
Cars 3, June 16, 2017
Coco, November 22, 2017
